Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal ,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_mediata,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2018S007461    ,6,Gràcia,30,la Salut,344000,Dalt                                              ,98,Dimecres,Dc,Laboral,2018,10,Octubre,3,18,Tarda,No hi ha causa mediata,429664.08 ,4584912.09,2.157309,41.410837
2018S008737    ,6,Gràcia,30,la Salut,344000,Dalt                                              ,92,Dijous,Dj,Laboral,2018,11,Novembre,15,15,Tarda,No hi ha causa mediata,429664.08 ,4584912.09,2.157309,41.410837
2018S007402    ,7,Horta-Guinardó,43,Horta,321401,Scala Dei                                         ,24,Dimarts,Dm,Laboral,2018,10,Octubre,2,8,Matí,No hi ha causa mediata,429664.98 ,4588110.57,2.156948,41.439644
2018S009033    ,6,Gràcia,31,la Vila de Gràcia,268105,Providència                                       ,60,Dilluns,Dl,Laboral,2018,11,Novembre,26,9,Matí,No hi ha causa mediata,429672.3  ,4584476.91,2.157458,41.406918
2018S002913    ,6,Gràcia,31,la Vila de Gràcia,356803,Perla                                             ,16-18     ,Dilluns,Dl,Laboral,2018,4,Abril,16,21,Tarda,No hi ha causa mediata,429672.86 ,4584108.38,2.157508,41.403599
2018S008213    ,6,Gràcia,31,la Vila de Gràcia,356803,Perla                                             ,16-18     ,Dissabte,Ds,Laboral,2018,10,Octubre,27,21,Tarda,No hi ha causa mediata,429672.86 ,4584108.38,2.157508,41.403599
2018S001960    ,6,Gràcia,31,la Vila de Gràcia,356803,Perla                                             ,16-18     ,Dissabte,Ds,Laboral,2018,3,Març,10,18,Tarda,No hi ha causa mediata,429672.86 ,4584108.38,2.157508,41.403599
2018S003179    ,7,Horta-Guinardó,37,el Carmel,67103,Carmel                                            ,4,Dimecres,Dc,Laboral,2018,4,Abril,25,0,Nit,No hi ha causa mediata,429672.87 ,4586715.5 ,2.157205,41.42708
2018S003728    ,7,Horta-Guinardó,37,el Carmel,67103,Carmel                                            ,4,Diumenge,Dg,Laboral,2018,5,Maig,13,18,Tarda,No hi ha causa mediata,429672.87 ,4586715.5 ,2.157205,41.42708
2018S004012    ,7,Horta-Guinardó,37,el Carmel,97807,Dante Alighieri / Carmel                          ,,Dijous,Dj,Laboral,2018,5,Maig,24,10,Matí,No hi ha causa mediata,429672.9  ,4586768.14,2.157199,41.427554
2018S009363    ,7,Horta-Guinardó,37,el Carmel,97807,Carmel / Dante Alighieri                          ,,Divendres,Dv,Laboral,2018,12,Desembre,7,14,Tarda,No hi ha causa mediata,429672.9  ,4586768.14,2.157199,41.427554
2018S003764    ,7,Horta-Guinardó,37,el Carmel,97807,Dante Alighieri / Carmel                          ,,Dilluns,Dl,Laboral,2018,5,Maig,14,19,Tarda,No hi ha causa mediata,429672.9  ,4586768.14,2.157199,41.427554
2018S006750    ,7,Horta-Guinardó,37,el Carmel,67103,Carmel / Dante Alighieri                          ,,Dijous,Dj,Laboral,2018,9,Setembre,6,22,Nit,No hi ha causa mediata,429672.9  ,4586768.14,2.157199,41.427554
2018S008528    ,7,Horta-Guinardó,37,el Carmel,67103,Dante Alighieri / Carmel                          ,,Dimecres,Dc,Laboral,2018,11,Novembre,7,12,Matí,No hi ha causa mediata,429672.9  ,4586768.14,2.157199,41.427554
2018S007027    ,6,Gràcia,31,la Vila de Gràcia,206403,Gran de Gràcia                                    ,6,Dimecres,Dc,Laboral,2018,9,Setembre,19,8,Matí,No hi ha causa mediata,429673.15 ,4583505.78,2.157582,41.398171
2018S002549    ,7,Horta-Guinardó,43,Horta,186204,Eduard Toda / Lloret de Mar                       ,,Dimecres,Dc,Laboral,2018,4,Abril,4,11,Matí,No hi ha causa mediata,429673.78 ,4587653.13,2.157106,41.435525
2018S005483    ,2,Eixample,7,la Dreta de l'Eixample,90502,Catalunya / Còrsega                               ,,Dilluns,Dl,Laboral,2018,7,Juliol,16,1,Nit,No hi ha causa mediata,429677.72 ,4583184.82,2.157673,41.395281
2018S002928    ,2,Eixample,7,la Dreta de l'Eixample,90502,Còrsega / Catalunya                               ,,Dimarts,Dm,Laboral,2018,4,Abril,17,12,Matí,No hi ha causa mediata,429677.72 ,4583184.82,2.157673,41.395281
2018S005353    ,2,Eixample,7,la Dreta de l'Eixample,74506,Catalunya / Còrsega                               ,,Dilluns,Dl,Laboral,2018,7,Juliol,9,13,Matí,No hi ha causa mediata,429677.72 ,4583184.82,2.157673,41.395281
2018S009423    ,2,Eixample,7,la Dreta de l'Eixample,289105,Rosselló                                          ,227,Dilluns,Dl,Laboral,2018,12,Desembre,10,18,Tarda,No hi ha causa mediata,429679.71 ,4583012.22,2.157717,41.393726
2018S001904    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó                                             ,178-180   ,Dijous,Dj,Laboral,2018,3,Març,8,22,Nit,No hi ha causa mediata,429679.94 ,4582226.44,2.157811,41.386649
2018S004256    ,7,Horta-Guinardó,37,el Carmel,19100,Arbós                                             ,30,Dimarts,Dm,Laboral,2018,5,Maig,29,13,Matí,No hi ha causa mediata,429680.00,4586096.92,2.157362,41.421509
2018S001202    ,7,Horta-Guinardó,37,el Carmel,67103,Carmel                                            ,14-16     ,Dimarts,Dm,Laboral,2018,2,Febrer,13,17,Tarda,Alcoholèmia,429681.36 ,4586659.73,2.157313,41.426578
2018S002056    ,7,Horta-Guinardó,37,el Carmel,67103,Carmel                                            ,14-16     ,Dimecres,Dc,Laboral,2018,3,Març,14,9,Matí,No hi ha causa mediata,429681.36 ,4586659.73,2.157313,41.426578
2018S002295    ,7,Horta-Guinardó,37,el Carmel,337401,Tolrà / Llobregós                                 ,,Dijous,Dj,Laboral,2018,3,Març,22,12,Matí,No hi ha causa mediata,429681.72 ,4586482.93,2.157338,41.424986
2018S008901    ,7,Horta-Guinardó,37,el Carmel,337401,Tolrà / Llobregós                                 ,,Dimecres,Dc,Laboral,2018,11,Novembre,21,12,Matí,No hi ha causa mediata,429681.72 ,4586482.93,2.157338,41.424986
2018S002502    ,6,Gràcia,31,la Vila de Gràcia,344101,Gràcia                                            ,162,Diumenge,Dg,Laboral,2018,4,Abril,1,19,Tarda,No hi ha causa mediata,429682.03 ,4583840.38,2.157649,41.401186
2018S009308    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell                                    ,80,Dimecres,Dc,Laboral,2018,12,Desembre,5,11,Matí,No hi ha causa mediata,429683.81 ,4581802.86,2.157907,41.382835
2018S006766    ,7,Horta-Guinardó,43,Horta,701268,Dalt (Besòs)                                      ,K128      ,Divendres,Dv,Laboral,2018,9,Setembre,7,13,Matí,No hi ha causa mediata,429684.3  ,4588079.82,2.157183,41.439369
2018S009634    ,7,Horta-Guinardó,37,el Carmel,181801,Lugo / Lluís Marià Vidal                          ,,Dilluns,Dl,Laboral,2018,12,Desembre,17,13,Matí,No hi ha causa mediata,429684.59 ,4586351.84,2.157387,41.423806
2018S007216    ,7,Horta-Guinardó,42,la Clota,179901,Lisboa                                            ,44,Dimecres,Dc,Laboral,2018,9,Setembre,26,7,Matí,No hi ha causa mediata,429684.68 ,4586952.17,2.157319,41.429213
2018S008305    ,7,Horta-Guinardó,42,la Clota,249406,Lisboa                                            ,44,Dimarts,Dm,Laboral,2018,10,Octubre,30,18,Tarda,No hi ha causa mediata,429684.68 ,4586952.17,2.157319,41.429213
2018S007865    ,6,Gràcia,31,la Vila de Gràcia,144601,Diagonal                                          ,452-454   ,Dimarts,Dm,Laboral,2018,10,Octubre,16,18,Tarda,No hi ha causa mediata,429685.23 ,4583301.92,2.15775,41.396336
2018S000972    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputació                                         ,158,Dilluns,Dl,Laboral,2018,2,Febrer,5,17,Tarda,No hi ha causa mediata,429686.38 ,4581865.71,2.15793,41.383401
2018S001016    ,6,Gràcia,30,la Salut,344000,Dalt / Escorial                                   ,,Dimecres,Dc,Laboral,2018,2,Febrer,7,7,Matí,No hi ha causa mediata,429688.64 ,4584955.16,2.157598,41.411227
2018S005971    ,6,Gràcia,30,la Salut,344000,Dalt / Escorial                                   ,,Dijous,Dj,Laboral,2018,8,Agost,2,7,Matí,No hi ha causa mediata,429688.64 ,4584955.16,2.157598,41.411227
2018S003630    ,6,Gràcia,30,la Salut,344000,Escorial / Dalt                                   ,,Dijous,Dj,Laboral,2018,5,Maig,10,13,Matí,No hi ha causa mediata,429688.64 ,4584955.16,2.157598,41.411227
2018S000165    ,6,Gràcia,30,la Salut,344000,Escorial / Dalt                                   ,,Dilluns,Dl,Laboral,2018,1,Gener,8,12,Matí,No hi ha causa mediata,429688.64 ,4584955.16,2.157598,41.411227
2018S006577    ,6,Gràcia,30,la Salut,344000,Dalt / Escorial                                   ,,Dijous,Dj,Laboral,2018,8,Agost,23,13,Matí,No hi ha causa mediata,429688.64 ,4584955.16,2.157598,41.411227
2018S003818    ,6,Gràcia,30,la Salut,344000,Dalt / Escorial                                   ,,Dimecres,Dc,Laboral,2018,5,Maig,16,10,Matí,No hi ha causa mediata,429688.64 ,4584955.16,2.157598,41.411227
2018S008033    ,6,Gràcia,30,la Salut,344000,Dalt / Escorial                                   ,,Dilluns,Dl,Laboral,2018,10,Octubre,22,13,Matí,No hi ha causa mediata,429688.64 ,4584955.16,2.157598,41.411227
2018S001487    ,6,Gràcia,30,la Salut,344000,Dalt / Escorial                                   ,,Divendres,Dv,Laboral,2018,2,Febrer,23,16,Tarda,No hi ha causa mediata,429688.64 ,4584955.16,2.157598,41.411227
2018S004346    ,7,Horta-Guinardó,43,Horta,352507,Vall d'Hebron                                     ,300-302   ,Dimarts,Dm,Laboral,2018,6,Juny,5,18,Tarda,No hi ha causa mediata,429688.81 ,4588027.39,2.157243,41.438897
2018S007115    ,7,Horta-Guinardó,43,Horta,701267,Vall d'Hebron                                     ,300-302   ,Divendres,Dv,Laboral,2018,9,Setembre,21,14,Tarda,No hi ha causa mediata,429688.81 ,4588027.39,2.157243,41.438897
2018S005425    ,6,Gràcia,31,la Vila de Gràcia,206403,Gran de Gràcia                                    ,2,Divendres,Dv,Laboral,2018,7,Juliol,13,10,Matí,Calçada en mal estat,429689.14 ,4583488.02,2.157775,41.398013
2018S007863    ,7,Horta-Guinardó,37,el Carmel,3600,Agudells / Lluís Marià Vidal                      ,,Dimarts,Dm,Laboral,2018,10,Octubre,16,17,Tarda,No hi ha causa mediata,429690.65 ,4586275.77,2.157469,41.423121
2018S002931    ,2,Eixample,10,Sant Antoni,323203,Sepúlveda                                         ,104,Dimarts,Dm,Laboral,2018,4,Abril,17,11,Matí,No hi ha causa mediata,429691.27 ,4581455.17,2.158036,41.379704
